"","Zone","Mois","annee","production","date_standard","cumul"
"1","Ambanja","Dec 20","2020",22955.3679191842,2020-12-01,22955.3679191842
"2","Ambanja","Jan 21","2021",20936.9618519844,2021-01-01,43892.3297711686
"3","Ambanja","Feb 21","2021",22244.7692371219,2021-02-01,66137.0990082906
"4","Ambanja","Mar 21","2021",19594.0338273954,2021-03-01,85731.132835686
"5","Ambanja","Apr 21","2021",23330.4747710969,2021-04-01,109061.607606783
"6","Ambanja","May 21","2021",16861.0194000884,2021-05-01,125922.627006871
"7","Ambanja","Jun 21","2021",15751.6006920807,2021-06-01,141674.227698952
"8","Ambanja","Aug 21","2021",19484.0988886519,2021-08-01,161158.326587604
"9","Ambanja","Sep 21","2021",13500.7840126982,2021-09-01,174659.110600302
"10","Ambanja","Oct 21","2021",10466.210605977,2021-10-01,185125.321206279
"11","Ambanja","Dec 21","2021",40644.3959215333,2021-12-01,40644.3959215333
"12","Ambanja","Jan 22","2022",58099.8640818852,2022-01-01,98744.2600034185
"13","Ambanja","Feb 22","2022",53029.7017378994,2022-02-01,151773.961741318
"14","Ambanja","Mar 22","2022",36253.3775010559,2022-03-01,188027.339242374
"15","Ambanja","Apr 22","2022",44628.2908474375,2022-04-01,232655.630089811
"16","Ambanja","May 22","2022",46559.9148944975,2022-05-01,279215.544984309
"17","Ambanja","Jun 22","2022",25374.1500474911,2022-06-01,304589.6950318
"18","Ambanja","Jul 22","2022",44265.9916429901,2022-07-01,348855.68667479
"19","Ambanja","Aug 22","2022",64494.0395225664,2022-08-01,413349.726197357
"20","Ambanja","Sep 22","2022",64325.9205910999,2022-09-01,477675.646788456
"21","Mahajanga","Dec 20","2020",357165.047535501,2020-12-01,357165.047535501
"22","Mahajanga","Jan 21","2021",324154.31856403,2021-01-01,681319.36609953
"23","Mahajanga","Feb 21","2021",405427.442450999,2021-02-01,1086746.80855053
"24","Mahajanga","Mar 21","2021",352969.204190857,2021-03-01,1439716.01274139
"25","Mahajanga","Apr 21","2021",243387.408318207,2021-04-01,1683103.42105959
"26","Mahajanga","May 21","2021",342859.747225543,2021-05-01,2025963.16828514
"27","Mahajanga","Jun 21","2021",235444.313822234,2021-06-01,2261407.48210737
"28","Mahajanga","Jul 21","2021",209526.377475507,2021-07-01,2470933.85958288
"29","Mahajanga","Aug 21","2021",154002.142595268,2021-08-01,2624936.00217815
"30","Mahajanga","Sep 21","2021",175602.030095966,2021-09-01,2800538.03227411
"31","Mahajanga","Oct 21","2021",154426.273658702,2021-10-01,2954964.30593281
"32","Mahajanga","Dec 21","2021",320382.789975312,2021-12-01,320382.789975312
"33","Mahajanga","Jan 22","2022",259458.869917098,2022-01-01,579841.659892409
"34","Mahajanga","Feb 22","2022",227952.901923796,2022-02-01,807794.561816206
"35","Mahajanga","Mar 22","2022",195320.920473727,2022-03-01,1003115.48228993
"36","Mahajanga","Apr 22","2022",163134.61598727,2022-04-01,1166250.0982772
"37","Mahajanga","May 22","2022",154431.372394162,2022-05-01,1320681.47067136
"38","Mahajanga","Jun 22","2022",188503.328553048,2022-06-01,1509184.79922441
"39","Mahajanga","Jul 22","2022",144944.258956189,2022-07-01,1654129.0581806
"40","Mahajanga","Aug 22","2022",213630.950504283,2022-08-01,1867760.00868488
"41","Mahajanga","Sep 22","2022",167475.582672547,2022-09-01,2035235.59135743
"42","Morombe","Mar 21","2021",60748.8790286704,2021-03-01,60748.8790286704
"43","Morombe","Apr 21","2021",104650.101773041,2021-04-01,165398.980801711
"44","Morombe","May 21","2021",100123.025921673,2021-05-01,265522.006723384
"45","Morombe","Jun 21","2021",97010.0421715882,2021-06-01,362532.048894972
"46","Morombe","Jul 21","2021",99582.1920980117,2021-07-01,462114.240992984
"47","Morombe","Aug 21","2021",93171.4838730278,2021-08-01,555285.724866012
"48","Morombe","Sep 21","2021",98468.9496343084,2021-09-01,653754.67450032
"49","Morombe","Oct 21","2021",146945.355041272,2021-10-01,800700.029541592
"50","Morombe","Dec 21","2021",204114.801713939,2021-12-01,204114.801713939
"51","Morombe","Jan 22","2022",175940.759068191,2022-01-01,380055.56078213
"52","Morombe","Feb 22","2022",133569.580798844,2022-02-01,513625.141580974
"53","Morombe","Mar 22","2022",122594.652115672,2022-03-01,636219.793696646
"54","Morombe","Apr 22","2022",101463.325548734,2022-04-01,737683.11924538
"55","Morombe","May 22","2022",107510.959577087,2022-05-01,845194.078822467
"56","Morombe","Jun 22","2022",118099.831478141,2022-06-01,963293.910300608
"57","Morombe","Jul 22","2022",127986.200477623,2022-07-01,1091280.11077823
"58","Morombe","Aug 22","2022",149943.090537856,2022-08-01,1241223.20131609
"59","Morombe","Sep 22","2022",128694.472907021,2022-09-01,1369917.67422311
"60","Morondava","Feb 21","2021",140660.349928312,2021-02-01,140660.349928312
"61","Morondava","Mar 21","2021",149076.593903738,2021-03-01,289736.94383205
"62","Morondava","Apr 21","2021",123023.58349647,2021-04-01,412760.527328521
"63","Morondava","May 21","2021",158463.224925455,2021-05-01,571223.752253975
"64","Morondava","Jun 21","2021",156582.483777446,2021-06-01,727806.236031421
"65","Morondava","Jul 21","2021",156808.219711773,2021-07-01,884614.455743194
"66","Morondava","Aug 21","2021",155224.743114668,2021-08-01,1039839.19885786
"67","Morondava","Sep 21","2021",128352.914882203,2021-09-01,1168192.11374007
"68","Morondava","Oct 21","2021",177906.678961373,2021-10-01,1346098.79270144
"69","Morondava","Dec 21","2021",252792.22505287,2021-12-01,252792.22505287
"70","Morondava","Jan 22","2022",262467.240754389,2022-01-01,515259.46580726
"71","Morondava","Feb 22","2022",260006.293708202,2022-02-01,775265.759515462
"72","Morondava","Mar 22","2022",247616.491991405,2022-03-01,1022882.25150687
"73","Morondava","Apr 22","2022",214751.697145784,2022-04-01,1237633.94865265
"74","Morondava","May 22","2022",241788.716430183,2022-05-01,1479422.66508283
